transaction_id,source_account,target_account,amount,currency,timestamp,transaction_type,reference_no,source_record_id
TXN-003-0001,410012345678,ACC-MERCHANT-3,3420.0,INR,2024-10-08T22:49:00Z,UPI,UTRUPI-20240300002,BANK-STMT-003
TXN-003-0002,410012345678,ACC-MERCHANT-3,2500.0,INR,2024-10-09T02:51:00Z,UPI,UTRUPI-20240300001,BANK-STMT-003
TXN-003-0003,410012345678,ACC-MERCHANT-13,3420.0,INR,2024-10-09T20:43:00Z,UPI,UTRUPI-20240300003,BANK-STMT-003
TXN-003-0004,410012345678,ACC-MERCHANT-13,7800.0,INR,2024-10-09T20:46:00Z,POS_DEBIT,UTRPOS-20240300004,BANK-STMT-003
TXN-003-0005,CDM-CASH-DEP-041,410012345678,45000.0,INR,2024-10-11T00:48:00Z,CASH_DEPOSIT,UTRCAS-20240300006,BANK-STMT-003
TXN-003-0006,410012345678,ACC-MERCHANT-23,7800.0,INR,2024-10-11T01:34:00Z,POS_DEBIT,UTRPOS-20240300005,BANK-STMT-003
TXN-003-0007,410012345678,ACC-MERCHANT-33,10000.0,INR,2024-10-11T20:13:00Z,ATM_WDL,UTRATM-20240300008,BANK-STMT-003
TXN-003-0008,CDM-CASH-DEP-041,410012345678,45000.0,INR,2024-10-11T20:36:00Z,CASH_DEPOSIT,UTRCAS-20240300007,BANK-STMT-003
TXN-003-0009,410012345678,ACC-MERCHANT-43,1250.0,INR,2024-10-12T19:07:00Z,UPI,UTRUPI-20240300010,BANK-STMT-003
TXN-003-0010,410012345678,ACC-MERCHANT-43,10000.0,INR,2024-10-12T22:42:00Z,ATM_WDL,UTRATM-20240300009,BANK-STMT-003
TXN-003-0011,ACC-VICTIM-003,410012345678,600000.0,INR,2024-10-13T21:30:00Z,RTGS,UTRRBIRTGS202403991823,BANK-STMT-003
TXN-003-0012,410012345678,502001234567,420000.0,INR,2024-10-13T21:45:00Z,IMPS,UTRIMPS202403882194,BANK-STMT-003
TXN-003-0013,410012345678,ATM-CASH-OUT-01,10000.0,INR,2024-10-13T22:30:00Z,ATM_WDL,ATMWDL0300013,BANK-STMT-003
TXN-003-0014,410012345678,ATM-CASH-OUT-02,10000.0,INR,2024-10-13T22:42:00Z,ATM_WDL,ATMWDL0300014,BANK-STMT-003
TXN-003-0015,410012345678,ATM-CASH-OUT-03,10000.0,INR,2024-10-13T22:54:00Z,ATM_WDL,ATMWDL0300015,BANK-STMT-003
TXN-003-0016,410012345678,ATM-CASH-OUT-04,10000.0,INR,2024-10-13T23:06:00Z,ATM_WDL,ATMWDL0300016,BANK-STMT-003
