transaction_id,source_account,target_account,amount,currency,timestamp,transaction_type,reference_no,source_record_id
TXN-010-0001,410012345678,ACC-MERCHANT-10,2500.0,INR,2024-10-06T01:55:00Z,UPI,UTRUPI-20241000001,BANK-STMT-010
TXN-010-0002,410012345678,ACC-MERCHANT-10,3420.0,INR,2024-10-06T04:20:00Z,UPI,UTRUPI-20241000002,BANK-STMT-010
TXN-010-0003,410012345678,ACC-MERCHANT-20,7800.0,INR,2024-10-06T23:45:00Z,POS_DEBIT,UTRPOS-20241000004,BANK-STMT-010
TXN-010-0004,410012345678,ACC-MERCHANT-20,3420.0,INR,2024-10-07T01:35:00Z,UPI,UTRUPI-20241000003,BANK-STMT-010
TXN-010-0005,CDM-CASH-DEP-041,410012345678,45000.0,INR,2024-10-07T20:39:00Z,CASH_DEPOSIT,UTRCAS-20241000006,BANK-STMT-010
TXN-010-0006,410012345678,ACC-MERCHANT-30,7800.0,INR,2024-10-08T03:49:00Z,POS_DEBIT,UTRPOS-20241000005,BANK-STMT-010
TXN-010-0007,410012345678,ACC-MERCHANT-40,10000.0,INR,2024-10-09T00:52:00Z,ATM_WDL,UTRATM-20241000008,BANK-STMT-010
TXN-010-0008,CDM-CASH-DEP-041,410012345678,45000.0,INR,2024-10-09T01:37:00Z,CASH_DEPOSIT,UTRCAS-20241000007,BANK-STMT-010
TXN-010-0009,410012345678,ACC-MERCHANT-50,10000.0,INR,2024-10-09T19:12:00Z,ATM_WDL,UTRATM-20241000009,BANK-STMT-010
TXN-010-0010,410012345678,ACC-MERCHANT-50,1250.0,INR,2024-10-10T03:10:00Z,UPI,UTRUPI-20241000010,BANK-STMT-010
TXN-010-0011,ACC-VICTIM-010,410012345678,950000.0,INR,2024-10-10T21:30:00Z,RTGS,UTRRBIRTGS202410991823,BANK-STMT-010
TXN-010-0012,410012345678,410012345678,665000.0,INR,2024-10-10T21:45:00Z,IMPS,UTRIMPS202410882194,BANK-STMT-010
TXN-010-0013,410012345678,ATM-CASH-OUT-01,10000.0,INR,2024-10-10T22:30:00Z,ATM_WDL,ATMWDL1000013,BANK-STMT-010
TXN-010-0014,410012345678,ATM-CASH-OUT-02,10000.0,INR,2024-10-10T22:42:00Z,ATM_WDL,ATMWDL1000014,BANK-STMT-010
TXN-010-0015,410012345678,ATM-CASH-OUT-03,10000.0,INR,2024-10-10T22:54:00Z,ATM_WDL,ATMWDL1000015,BANK-STMT-010
TXN-010-0016,410012345678,ATM-CASH-OUT-04,10000.0,INR,2024-10-10T23:06:00Z,ATM_WDL,ATMWDL1000016,BANK-STMT-010
