transaction_id,source_account,target_account,amount,currency,timestamp,transaction_type,reference_no,source_record_id
TXN-013-0001,110000001301,ACC-MERCHANT-13,2500.0,INR,2024-10-08T19:46:00Z,UPI,UTRUPI-20241300001,BANK-STMT-013
TXN-013-0002,110000001301,ACC-MERCHANT-13,3420.0,INR,2024-10-08T23:06:00Z,UPI,UTRUPI-20241300002,BANK-STMT-013
TXN-013-0003,110000001301,ACC-MERCHANT-23,7800.0,INR,2024-10-10T00:20:00Z,POS_DEBIT,UTRPOS-20241300004,BANK-STMT-013
TXN-013-0004,110000001301,ACC-MERCHANT-23,3420.0,INR,2024-10-10T02:40:00Z,UPI,UTRUPI-20241300003,BANK-STMT-013
TXN-013-0005,CDM-CASH-DEP-041,110000001301,45000.0,INR,2024-10-10T20:24:00Z,CASH_DEPOSIT,UTRCAS-20241300006,BANK-STMT-013
TXN-013-0006,110000001301,ACC-MERCHANT-33,7800.0,INR,2024-10-11T01:06:00Z,POS_DEBIT,UTRPOS-20241300005,BANK-STMT-013
TXN-013-0007,CDM-CASH-DEP-041,110000001301,45000.0,INR,2024-10-11T21:43:00Z,CASH_DEPOSIT,UTRCAS-20241300007,BANK-STMT-013
TXN-013-0008,110000001301,ACC-MERCHANT-43,10000.0,INR,2024-10-11T23:36:00Z,ATM_WDL,UTRATM-20241300008,BANK-STMT-013
TXN-013-0009,110000001301,ACC-MERCHANT-53,10000.0,INR,2024-10-12T23:24:00Z,ATM_WDL,UTRATM-20241300009,BANK-STMT-013
TXN-013-0010,110000001301,ACC-MERCHANT-53,1250.0,INR,2024-10-13T01:26:00Z,UPI,UTRUPI-20241300010,BANK-STMT-013
TXN-013-0011,ACC-VICTIM-013,110000001301,1100000.0,INR,2024-10-13T21:30:00Z,RTGS,UTRRBIRTGS202413991823,BANK-STMT-013
TXN-013-0012,110000001301,410012345678,770000.0,INR,2024-10-13T21:45:00Z,IMPS,UTRIMPS202413882194,BANK-STMT-013
TXN-013-0013,110000001301,ATM-CASH-OUT-01,10000.0,INR,2024-10-13T22:30:00Z,ATM_WDL,ATMWDL1300013,BANK-STMT-013
TXN-013-0014,110000001301,ATM-CASH-OUT-02,10000.0,INR,2024-10-13T22:42:00Z,ATM_WDL,ATMWDL1300014,BANK-STMT-013
TXN-013-0015,110000001301,ATM-CASH-OUT-03,10000.0,INR,2024-10-13T22:54:00Z,ATM_WDL,ATMWDL1300015,BANK-STMT-013
TXN-013-0016,110000001301,ATM-CASH-OUT-04,10000.0,INR,2024-10-13T23:06:00Z,ATM_WDL,ATMWDL1300016,BANK-STMT-013
