transaction_id,source_account,target_account,amount,currency,timestamp,transaction_type,reference_no,source_record_id
TXN-014-0001,110000001401,ACC-MERCHANT-14,3420.0,INR,2024-10-09T20:26:00Z,UPI,UTRUPI-20241400002,BANK-STMT-014
TXN-014-0002,110000001401,ACC-MERCHANT-14,2500.0,INR,2024-10-09T22:41:00Z,UPI,UTRUPI-20241400001,BANK-STMT-014
TXN-014-0003,110000001401,ACC-MERCHANT-24,3420.0,INR,2024-10-10T22:45:00Z,UPI,UTRUPI-20241400003,BANK-STMT-014
TXN-014-0004,110000001401,ACC-MERCHANT-24,7800.0,INR,2024-10-11T04:08:00Z,POS_DEBIT,UTRPOS-20241400004,BANK-STMT-014
TXN-014-0005,110000001401,ACC-MERCHANT-34,7800.0,INR,2024-10-11T21:38:00Z,POS_DEBIT,UTRPOS-20241400005,BANK-STMT-014
TXN-014-0006,CDM-CASH-DEP-041,110000001401,45000.0,INR,2024-10-12T03:48:00Z,CASH_DEPOSIT,UTRCAS-20241400006,BANK-STMT-014
TXN-014-0007,CDM-CASH-DEP-041,110000001401,45000.0,INR,2024-10-13T03:23:00Z,CASH_DEPOSIT,UTRCAS-20241400007,BANK-STMT-014
TXN-014-0008,110000001401,ACC-MERCHANT-44,10000.0,INR,2024-10-13T04:09:00Z,ATM_WDL,UTRATM-20241400008,BANK-STMT-014
TXN-014-0009,110000001401,ACC-MERCHANT-54,1250.0,INR,2024-10-14T00:26:00Z,UPI,UTRUPI-20241400010,BANK-STMT-014
TXN-014-0010,110000001401,ACC-MERCHANT-54,10000.0,INR,2024-10-14T03:55:00Z,ATM_WDL,UTRATM-20241400009,BANK-STMT-014
TXN-014-0011,ACC-VICTIM-014,110000001401,1150000.0,INR,2024-10-14T21:30:00Z,RTGS,UTRRBIRTGS202414991823,BANK-STMT-014
TXN-014-0012,110000001401,410012345678,805000.0,INR,2024-10-14T21:45:00Z,IMPS,UTRIMPS202414882194,BANK-STMT-014
TXN-014-0013,110000001401,ATM-CASH-OUT-01,10000.0,INR,2024-10-14T22:30:00Z,ATM_WDL,ATMWDL1400013,BANK-STMT-014
TXN-014-0014,110000001401,ATM-CASH-OUT-02,10000.0,INR,2024-10-14T22:42:00Z,ATM_WDL,ATMWDL1400014,BANK-STMT-014
TXN-014-0015,110000001401,ATM-CASH-OUT-03,10000.0,INR,2024-10-14T22:54:00Z,ATM_WDL,ATMWDL1400015,BANK-STMT-014
TXN-014-0016,110000001401,ATM-CASH-OUT-04,10000.0,INR,2024-10-14T23:06:00Z,ATM_WDL,ATMWDL1400016,BANK-STMT-014
