transaction_id,source_account,target_account,amount,currency,timestamp,transaction_type,reference_no,source_record_id
TXN-015-0001,110000001501,ACC-MERCHANT-15,3420.0,INR,2024-10-05T20:39:00Z,UPI,UTRUPI-20241500002,BANK-STMT-015
TXN-015-0002,110000001501,ACC-MERCHANT-15,2500.0,INR,2024-10-05T23:17:00Z,UPI,UTRUPI-20241500001,BANK-STMT-015
TXN-015-0003,110000001501,ACC-MERCHANT-25,3420.0,INR,2024-10-06T20:26:00Z,UPI,UTRUPI-20241500003,BANK-STMT-015
TXN-015-0004,110000001501,ACC-MERCHANT-25,7800.0,INR,2024-10-07T03:23:00Z,POS_DEBIT,UTRPOS-20241500004,BANK-STMT-015
TXN-015-0005,110000001501,ACC-MERCHANT-35,7800.0,INR,2024-10-07T23:48:00Z,POS_DEBIT,UTRPOS-20241500005,BANK-STMT-015
TXN-015-0006,CDM-CASH-DEP-041,110000001501,45000.0,INR,2024-10-08T00:35:00Z,CASH_DEPOSIT,UTRCAS-20241500006,BANK-STMT-015
TXN-015-0007,CDM-CASH-DEP-041,110000001501,45000.0,INR,2024-10-08T19:40:00Z,CASH_DEPOSIT,UTRCAS-20241500007,BANK-STMT-015
TXN-015-0008,110000001501,ACC-MERCHANT-45,10000.0,INR,2024-10-09T03:14:00Z,ATM_WDL,UTRATM-20241500008,BANK-STMT-015
TXN-015-0009,110000001501,ACC-MERCHANT-55,10000.0,INR,2024-10-09T21:07:00Z,ATM_WDL,UTRATM-20241500009,BANK-STMT-015
TXN-015-0010,110000001501,ACC-MERCHANT-55,1250.0,INR,2024-10-09T23:16:00Z,UPI,UTRUPI-20241500010,BANK-STMT-015
TXN-015-0011,ACC-VICTIM-015,110000001501,1200000.0,INR,2024-10-10T21:30:00Z,RTGS,UTRRBIRTGS202415991823,BANK-STMT-015
TXN-015-0012,110000001501,410012345678,840000.0,INR,2024-10-10T21:45:00Z,IMPS,UTRIMPS202415882194,BANK-STMT-015
TXN-015-0013,110000001501,ATM-CASH-OUT-01,10000.0,INR,2024-10-10T22:30:00Z,ATM_WDL,ATMWDL1500013,BANK-STMT-015
TXN-015-0014,110000001501,ATM-CASH-OUT-02,10000.0,INR,2024-10-10T22:42:00Z,ATM_WDL,ATMWDL1500014,BANK-STMT-015
TXN-015-0015,110000001501,ATM-CASH-OUT-03,10000.0,INR,2024-10-10T22:54:00Z,ATM_WDL,ATMWDL1500015,BANK-STMT-015
TXN-015-0016,110000001501,ATM-CASH-OUT-04,10000.0,INR,2024-10-10T23:06:00Z,ATM_WDL,ATMWDL1500016,BANK-STMT-015
