transaction_id,source_account,target_account,amount,currency,timestamp,transaction_type,reference_no,source_record_id
TXN-020-0001,502001234567,ACC-MERCHANT-20,3420.0,INR,2024-10-05T22:45:00Z,UPI,UTRUPI-20242000002,BANK-STMT-020
TXN-020-0002,502001234567,ACC-MERCHANT-20,2500.0,INR,2024-10-06T03:20:00Z,UPI,UTRUPI-20242000001,BANK-STMT-020
TXN-020-0003,502001234567,ACC-MERCHANT-30,7800.0,INR,2024-10-07T02:10:00Z,POS_DEBIT,UTRPOS-20242000004,BANK-STMT-020
TXN-020-0004,502001234567,ACC-MERCHANT-30,3420.0,INR,2024-10-07T04:47:00Z,UPI,UTRUPI-20242000003,BANK-STMT-020
TXN-020-0005,CDM-CASH-DEP-041,502001234567,45000.0,INR,2024-10-07T22:19:00Z,CASH_DEPOSIT,UTRCAS-20242000006,BANK-STMT-020
TXN-020-0006,502001234567,ACC-MERCHANT-40,7800.0,INR,2024-10-08T00:55:00Z,POS_DEBIT,UTRPOS-20242000005,BANK-STMT-020
TXN-020-0007,CDM-CASH-DEP-041,502001234567,45000.0,INR,2024-10-08T23:51:00Z,CASH_DEPOSIT,UTRCAS-20242000007,BANK-STMT-020
TXN-020-0008,502001234567,ACC-MERCHANT-50,10000.0,INR,2024-10-09T00:28:00Z,ATM_WDL,UTRATM-20242000008,BANK-STMT-020
TXN-020-0009,502001234567,ACC-MERCHANT-60,10000.0,INR,2024-10-09T21:11:00Z,ATM_WDL,UTRATM-20242000009,BANK-STMT-020
TXN-020-0010,502001234567,ACC-MERCHANT-60,1250.0,INR,2024-10-10T00:24:00Z,UPI,UTRUPI-20242000010,BANK-STMT-020
TXN-020-0011,ACC-VICTIM-020,502001234567,1450000.0,INR,2024-10-10T21:30:00Z,RTGS,UTRRBIRTGS202420991823,BANK-STMT-020
TXN-020-0012,502001234567,502001234567,1014999.9999999999,INR,2024-10-10T21:45:00Z,IMPS,UTRIMPS202420882194,BANK-STMT-020
TXN-020-0013,502001234567,ATM-CASH-OUT-01,10000.0,INR,2024-10-10T22:30:00Z,ATM_WDL,ATMWDL2000013,BANK-STMT-020
TXN-020-0014,502001234567,ATM-CASH-OUT-02,10000.0,INR,2024-10-10T22:42:00Z,ATM_WDL,ATMWDL2000014,BANK-STMT-020
TXN-020-0015,502001234567,ATM-CASH-OUT-03,10000.0,INR,2024-10-10T22:54:00Z,ATM_WDL,ATMWDL2000015,BANK-STMT-020
TXN-020-0016,502001234567,ATM-CASH-OUT-04,10000.0,INR,2024-10-10T23:06:00Z,ATM_WDL,ATMWDL2000016,BANK-STMT-020
