transaction_id,source_account,target_account,amount,currency,timestamp,transaction_type,reference_no,source_record_id
TXN-022-0001,110000002201,ACC-MERCHANT-22,2500.0,INR,2024-10-08T03:18:00Z,UPI,UTRUPI-20242200001,BANK-STMT-022
TXN-022-0002,110000002201,ACC-MERCHANT-22,3420.0,INR,2024-10-08T04:24:00Z,UPI,UTRUPI-20242200002,BANK-STMT-022
TXN-022-0003,110000002201,ACC-MERCHANT-32,3420.0,INR,2024-10-08T20:51:00Z,UPI,UTRUPI-20242200003,BANK-STMT-022
TXN-022-0004,110000002201,ACC-MERCHANT-32,7800.0,INR,2024-10-09T00:53:00Z,POS_DEBIT,UTRPOS-20242200004,BANK-STMT-022
TXN-022-0005,110000002201,ACC-MERCHANT-42,7800.0,INR,2024-10-09T22:34:00Z,POS_DEBIT,UTRPOS-20242200005,BANK-STMT-022
TXN-022-0006,CDM-CASH-DEP-041,110000002201,45000.0,INR,2024-10-10T04:15:00Z,CASH_DEPOSIT,UTRCAS-20242200006,BANK-STMT-022
TXN-022-0007,CDM-CASH-DEP-041,110000002201,45000.0,INR,2024-10-10T20:24:00Z,CASH_DEPOSIT,UTRCAS-20242200007,BANK-STMT-022
TXN-022-0008,110000002201,ACC-MERCHANT-52,10000.0,INR,2024-10-11T02:50:00Z,ATM_WDL,UTRATM-20242200008,BANK-STMT-022
TXN-022-0009,110000002201,ACC-MERCHANT-62,10000.0,INR,2024-10-11T22:40:00Z,ATM_WDL,UTRATM-20242200009,BANK-STMT-022
TXN-022-0010,110000002201,ACC-MERCHANT-62,1250.0,INR,2024-10-12T01:29:00Z,UPI,UTRUPI-20242200010,BANK-STMT-022
TXN-022-0011,ACC-VICTIM-022,110000002201,1550000.0,INR,2024-10-12T21:30:00Z,RTGS,UTRRBIRTGS202422991823,BANK-STMT-022
TXN-022-0012,110000002201,410012345678,1085000.0,INR,2024-10-12T21:45:00Z,IMPS,UTRIMPS202422882194,BANK-STMT-022
TXN-022-0013,110000002201,ATM-CASH-OUT-01,10000.0,INR,2024-10-12T22:30:00Z,ATM_WDL,ATMWDL2200013,BANK-STMT-022
TXN-022-0014,110000002201,ATM-CASH-OUT-02,10000.0,INR,2024-10-12T22:42:00Z,ATM_WDL,ATMWDL2200014,BANK-STMT-022
TXN-022-0015,110000002201,ATM-CASH-OUT-03,10000.0,INR,2024-10-12T22:54:00Z,ATM_WDL,ATMWDL2200015,BANK-STMT-022
TXN-022-0016,110000002201,ATM-CASH-OUT-04,10000.0,INR,2024-10-12T23:06:00Z,ATM_WDL,ATMWDL2200016,BANK-STMT-022
