transaction_id,source_account,target_account,amount,currency,timestamp,transaction_type,reference_no,source_record_id
TXN-024-0001,110000002401,ACC-MERCHANT-24,3420.0,INR,2024-10-09T19:16:00Z,UPI,UTRUPI-20242400002,BANK-STMT-024
TXN-024-0002,110000002401,ACC-MERCHANT-24,2500.0,INR,2024-10-09T23:40:00Z,UPI,UTRUPI-20242400001,BANK-STMT-024
TXN-024-0003,110000002401,ACC-MERCHANT-34,3420.0,INR,2024-10-10T19:31:00Z,UPI,UTRUPI-20242400003,BANK-STMT-024
TXN-024-0004,110000002401,ACC-MERCHANT-34,7800.0,INR,2024-10-10T23:55:00Z,POS_DEBIT,UTRPOS-20242400004,BANK-STMT-024
TXN-024-0005,110000002401,ACC-MERCHANT-44,7800.0,INR,2024-10-12T00:07:00Z,POS_DEBIT,UTRPOS-20242400005,BANK-STMT-024
TXN-024-0006,CDM-CASH-DEP-041,110000002401,45000.0,INR,2024-10-12T00:15:00Z,CASH_DEPOSIT,UTRCAS-20242400006,BANK-STMT-024
TXN-024-0007,110000002401,ACC-MERCHANT-54,10000.0,INR,2024-10-13T01:06:00Z,ATM_WDL,UTRATM-20242400008,BANK-STMT-024
TXN-024-0008,CDM-CASH-DEP-041,110000002401,45000.0,INR,2024-10-13T01:24:00Z,CASH_DEPOSIT,UTRCAS-20242400007,BANK-STMT-024
TXN-024-0009,110000002401,ACC-MERCHANT-64,10000.0,INR,2024-10-14T03:35:00Z,ATM_WDL,UTRATM-20242400009,BANK-STMT-024
TXN-024-0010,110000002401,ACC-MERCHANT-64,1250.0,INR,2024-10-14T04:32:00Z,UPI,UTRUPI-20242400010,BANK-STMT-024
TXN-024-0011,ACC-VICTIM-024,110000002401,1650000.0,INR,2024-10-14T21:30:00Z,RTGS,UTRRBIRTGS202424991823,BANK-STMT-024
TXN-024-0012,110000002401,410012345678,1155000.0,INR,2024-10-14T21:45:00Z,IMPS,UTRIMPS202424882194,BANK-STMT-024
TXN-024-0013,110000002401,ATM-CASH-OUT-01,10000.0,INR,2024-10-14T22:30:00Z,ATM_WDL,ATMWDL2400013,BANK-STMT-024
TXN-024-0014,110000002401,ATM-CASH-OUT-02,10000.0,INR,2024-10-14T22:42:00Z,ATM_WDL,ATMWDL2400014,BANK-STMT-024
TXN-024-0015,110000002401,ATM-CASH-OUT-03,10000.0,INR,2024-10-14T22:54:00Z,ATM_WDL,ATMWDL2400015,BANK-STMT-024
TXN-024-0016,110000002401,ATM-CASH-OUT-04,10000.0,INR,2024-10-14T23:06:00Z,ATM_WDL,ATMWDL2400016,BANK-STMT-024
