call_id,source_phone,target_phone,type,timestamp,duration_seconds,cell_tower,source_record_id
CDR-025-0001,9820456712,+919910025221,VOICE_OUT,2024-10-12T10:05:00Z,210,TOWER-025-01,CDR-DUMP-025
CDR-025-0002,9820456712,9825027006,VOICE_OUT,2024-10-12T10:16:00Z,120,TOWER-025-01,CDR-DUMP-025
CDR-025-0003,9820456712,+919818025451,VOICE_OUT,2024-10-12T11:35:00Z,210,TOWER-025-01,CDR-DUMP-025
CDR-025-0004,+919811025881,9820456712,VOICE_IN,2024-10-12T13:40:00Z,25,TOWER-025-01,CDR-DUMP-025
CDR-025-0005,9820456712,9825027006,VOICE_OUT,2024-10-12T16:05:00Z,240,TOWER-025-01,CDR-DUMP-025
CDR-025-0006,9820456712,+919810925711,VOICE_OUT,2024-10-12T20:29:00Z,60,TOWER-025-01,CDR-DUMP-025
CDR-025-0007,9820456712,9820456712,VOICE_OUT,2024-10-12T23:11:00Z,185,TOWER-025-01,CDR-DUMP-025
CDR-025-0008,9820456712,+919821990412,VOICE_OUT,2024-10-13T02:02:00Z,55,TOWER-025-01,CDR-DUMP-025
CDR-025-0009,VK-JIO-OTP,9820456712,SMS_IN,2024-10-13T04:03:00Z,0,TOWER-025-01,CDR-DUMP-025
CDR-025-0010,9820456712,9825027006,VOICE_OUT,2024-10-13T11:44:00Z,45,TOWER-025-01,CDR-DUMP-025
CDR-025-0011,9820456712,+919818025451,VOICE_OUT,2024-10-13T12:18:00Z,210,TOWER-025-01,CDR-DUMP-025
CDR-025-0012,9820456712,+919910025221,VOICE_OUT,2024-10-13T13:31:00Z,60,TOWER-025-01,CDR-DUMP-025
CDR-025-0013,9820456712,+919811025881,VOICE_OUT,2024-10-13T16:15:00Z,140,TOWER-025-01,CDR-DUMP-025
CDR-025-0014,9825027006,9820456712,VOICE_IN,2024-10-13T16:34:00Z,18,TOWER-025-01,CDR-DUMP-025
CDR-025-0015,9820456712,+919810925711,VOICE_OUT,2024-10-13T19:04:00Z,210,TOWER-025-01,CDR-DUMP-025
CDR-025-0016,VK-JIO-OTP,9820456712,SMS_IN,2024-10-13T20:17:00Z,0,TOWER-025-01,CDR-DUMP-025
CDR-025-0017,9820456712,9820456712,VOICE_OUT,2024-10-13T22:42:00Z,110,TOWER-025-01,CDR-DUMP-025
CDR-025-0018,9820456712,+919821990412,VOICE_OUT,2024-10-14T01:55:00Z,90,TOWER-025-01,CDR-DUMP-025
CDR-025-0019,9820456712,+919910025221,VOICE_OUT,2024-10-14T09:37:00Z,210,TOWER-025-01,CDR-DUMP-025
CDR-025-0020,9825027006,9820456712,VOICE_IN,2024-10-14T12:14:00Z,240,TOWER-025-01,CDR-DUMP-025
CDR-025-0021,+919818025451,9820456712,VOICE_IN,2024-10-14T13:41:00Z,25,TOWER-025-01,CDR-DUMP-025
CDR-025-0022,+919810925711,9820456712,VOICE_IN,2024-10-14T14:28:00Z,210,TOWER-025-01,CDR-DUMP-025
CDR-025-0023,9825027006,9820456712,VOICE_IN,2024-10-14T19:51:00Z,120,TOWER-025-01,CDR-DUMP-025
CDR-025-0024,9820456712,9820456712,VOICE_OUT,2024-10-14T23:15:00Z,65,TOWER-025-01,CDR-DUMP-025
CDR-025-0025,+919811025881,9820456712,VOICE_IN,2024-10-14T23:16:00Z,140,TOWER-025-01,CDR-DUMP-025
CDR-025-0026,9820456712,+919821990412,VOICE_OUT,2024-10-15T02:09:00Z,55,TOWER-025-01,CDR-DUMP-025
CDR-025-0027,VK-JIO-OTP,9820456712,SMS_IN,2024-10-15T04:03:00Z,0,TOWER-025-01,CDR-DUMP-025
CDR-025-0028,9820456712,+919818025451,VOICE_OUT,2024-10-15T10:29:00Z,60,TOWER-025-01,CDR-DUMP-025
CDR-025-0029,9820456712,9825027006,VOICE_OUT,2024-10-15T13:37:00Z,240,TOWER-025-01,CDR-DUMP-025
CDR-025-0030,+919810925711,9820456712,VOICE_IN,2024-10-15T14:28:00Z,60,TOWER-025-01,CDR-DUMP-025
CDR-025-0031,9820456712,9825027006,VOICE_OUT,2024-10-15T15:08:00Z,310,TOWER-025-01,CDR-DUMP-025
CDR-025-0032,9820456712,+919910025221,VOICE_OUT,2024-10-15T17:07:00Z,140,TOWER-025-01,CDR-DUMP-025
CDR-025-0033,9820456712,+919811025881,VOICE_OUT,2024-10-15T17:08:00Z,210,TOWER-025-01,CDR-DUMP-025
